#    1         2         3         4         5         6       7      8            9             10       11           18        19              23                     24         25           26    
# LOG(L)   LOG(TEFF)    T_c      Ro_c       Hc        Hec   %Con_s %Con_c    Log(edad/Myr)      Masa    M^dot        Log(Lnu)  Log MHtot       Log(grav)   R/R_sun   L.H.[erg/s)] Sep.Fase[erg/s]   
 1.673731  5.270858  2.143482  8.046305  0.000000  0.000000  0.000  0.000    2.292201365979216  1.15919 -33.00000   2.5127601 -20.3224389    8.8668952   0.0065688   0.000000      -0.000000    
 1.643913  5.263919  2.140990  8.046951  0.000000  0.000000  0.000  0.000    2.292205292135316  1.15919 -33.00000   2.4828828 -20.3168704    8.8689559   0.0065532   0.000000      -0.000000    
 1.613914  5.256923  2.138564  8.047635  0.000000  0.000000  0.000  0.000    2.292209358837149  1.15919 -33.00000   2.4533780 -20.3012365    8.8709718   0.0065380   0.000000      -0.000000    
 1.583583  5.249828  2.136134  8.048231  0.000000  0.000000  0.000  0.000    2.292213588182507  1.15919 -33.00000   2.4238559 -20.2983217    8.8729216   0.0065234   0.000000      -0.000000    
 1.553172  5.242710  2.133770  8.048880  0.000000  0.000000  0.000  0.000    2.292217970377252  1.15919 -33.00000   2.3947611 -20.2751962    8.8748601   0.0065088   0.000000      -0.000000    
 1.522436  5.235496  2.131399  8.049445  0.000000  0.000000  0.000  0.000    2.292222534595211  1.15919 -33.00000   2.3656065 -20.2670981    8.8767410   0.0064947   0.000000      -0.000000    
 1.491655  5.228268  2.129090  8.050064  0.000000  0.000000  0.000  0.000    2.292227264862401  1.15919 -33.00000   2.3368589 -20.2524265    8.8786108   0.0064808   0.000000      -0.000000    
 1.460591  5.220955  2.126770  8.050601  0.000000  0.000000  0.000  0.000    2.292232191416470  1.15919 -33.00000   2.3080395 -20.2385014    8.8804218   0.0064673   0.000000      -0.000000    
 1.429517  5.213636  2.124511  8.051192  0.000000  0.000000  0.000  0.000    2.292237297294617  1.15919 -33.00000   2.2796142 -20.2421510    8.8822202   0.0064539   0.000000      -0.000000    
 1.398188  5.206239  2.122238  8.051701  0.000000  0.000000  0.000  0.000    2.292242615429388  1.15919 -33.00000   2.2511033 -20.2184160    8.8839591   0.0064410   0.000000      -0.000000    
 1.366893  5.198846  2.120023  8.052266  0.000000  0.000000  0.000  0.000    2.292248127676791  1.15919 -33.00000   2.2229744 -20.2008465    8.8856853   0.0064282   0.000000      -0.000000    
 1.335386  5.191386  2.117791  8.052753  0.000000  0.000000  0.000  0.000    2.292253869843179  1.15919 -33.00000   2.1947464 -20.2027985    8.8873511   0.0064159   0.000000      -0.000000    
 1.303936  5.183937  2.115615  8.053298  0.000000  0.000000  0.000  0.000    2.292259822042557  1.15919 -33.00000   2.1668863 -20.1768662    8.8890029   0.0064037   0.000000      -0.000000    
 1.272305  5.176426  2.113420  8.053759  0.000000  0.000000  0.000  0.000    2.292266021624712  1.15919 -33.00000   2.1389144 -20.1588329    8.8905903   0.0063920   0.000000      -0.000000    
 1.240778  5.168936  2.111279  8.054276  0.000000  0.000000  0.000  0.000    2.292272446422294  1.15919 -33.00000   2.1112999 -20.1447758    8.8921582   0.0063805   0.000000      -0.000000    
