#    1         2         3         4         5         6       7      8            9             10       11           18        19              23                     24         25           26    
# LOG(L)   LOG(TEFF)    T_c      Ro_c       Hc        Hec   %Con_s %Con_c    Log(edad/Myr)      Masa    M^dot        Log(Lnu)  Log MHtot       Log(grav)   R/R_sun   L.H.[erg/s)] Sep.Fase[erg/s]   
 2.126496  5.342991  2.167402  7.803189  0.000000  0.000000  0.000  0.000    2.292150864357112  1.09840 -33.00000   3.0272333 -21.1837249    8.6792680   0.0079360   0.000000      -0.000000    
 2.104704  5.338233  2.163773  7.804353  0.000000  0.000000  0.000  0.000    2.292152922375449  1.09840 -33.00000   2.9973810 -21.1675684    8.6820277   0.0079108   0.000000      -0.000000    
 2.082704  5.333417  2.160201  7.805509  0.000000  0.000000  0.000  0.000    2.292155082033835  1.09840 -33.00000   2.9674890 -21.1717115    8.6847645   0.0078859   0.000000      -0.000000    
 2.060465  5.328537  2.156674  7.806634  0.000000  0.000000  0.000  0.000    2.292157352124523  1.09840 -33.00000   2.9374781 -21.1207089    8.6874826   0.0078613   0.000000      -0.000000    
 2.037970  5.323590  2.153196  7.807757  0.000000  0.000000  0.000  0.000    2.292159737822328  1.09840 -33.00000   2.9073980 -21.0867877    8.6901893   0.0078368   0.000000      -0.000000    
 2.015189  5.318567  2.149758  7.808849  0.000000  0.000000  0.000  0.000    2.292162247467718  1.09840 -33.00000   2.8771747 -21.0359684    8.6928796   0.0078126   0.000000      -0.000000    
 1.992108  5.313467  2.146363  7.809940  0.000000  0.000000  0.000  0.000    2.292164886246550  1.09840 -33.00000   2.8468665 -21.0062735    8.6955599   0.0077885   0.000000      -0.000000    
 1.968695  5.308280  2.143002  7.811002  0.000000  0.000000  0.000  0.000    2.292167663300406  1.09840 -33.00000   2.8164014 -20.9795803    8.6982246   0.0077647   0.000000      -0.000000    
 1.944958  5.303009  2.139681  7.812063  0.000000  0.000000  0.000  0.000    2.292170584172851  1.09840 -33.00000   2.7858414 -20.9454587    8.7008799   0.0077410   0.000000      -0.000000    
 1.920837  5.297639  2.136391  7.813094  0.000000  0.000000  0.000  0.000    2.292173658541222  1.09840 -33.00000   2.7551208 -20.9127452    8.7035196   0.0077175   0.000000      -0.000000    
 1.896360  5.292177  2.133138  7.814124  0.000000  0.000000  0.000  0.000    2.292176891756135  1.09840 -33.00000   2.7243111 -20.8637478    8.7061488   0.0076942   0.000000      -0.000000    
 1.871480  5.286610  2.129915  7.815125  0.000000  0.000000  0.000  0.000    2.292180293573840  1.09840 -33.00000   2.6933518 -20.8424349    8.7087603   0.0076711   0.000000      -0.000000    
 1.846220  5.280944  2.126729  7.816123  0.000000  0.000000  0.000  0.000    2.292183868617595  1.09840 -33.00000   2.6623241 -20.8174486    8.7113584   0.0076482   0.000000      -0.000000    
 1.820536  5.275167  2.123572  7.817088  0.000000  0.000000  0.000  0.000    2.292187625510319  1.09840 -33.00000   2.6311753 -20.7608019    8.7139329   0.0076255   0.000000      -0.000000    
 1.794436  5.269280  2.120450  7.818039  0.000000  0.000000  0.000  0.000    2.292191566267759  1.09840 -33.00000   2.5999880 -20.7477063    8.7164850   0.0076032   0.000000      -0.000000    
 1.767854  5.263265  2.117359  7.818951  0.000000  0.000000  0.000  0.000    2.292195697384801  1.09840 -33.00000   2.5687424 -20.7260395    8.7190083   0.0075811   0.000000      -0.000000    
